  RUN# SR_TYPE   PARM 1         PARM 2         STD. DEV.    RHO          Last Residual
    0      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    1      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    2      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    3      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    4      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    5      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    6      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    7      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    8      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
    9      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   10      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   11      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   12      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   13      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   14      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   15      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   16      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   17      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   18      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   19      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   20      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   21      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   22      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   23      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   24      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   25      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   26      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   27      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   28      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   29      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   30      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   31      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   32      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   33      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   34      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   35      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   36      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   37      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   38      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   39      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   40      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   41      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   42      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   43      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   44      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   45      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   46      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   47      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   48      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   49      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   50      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   51      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   52      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   53      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   54      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   55      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   56      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   57      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   58      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   59      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   60      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   61      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   62      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   63      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   64      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   65      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   66      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   67      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   68      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   69      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   70      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   71      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   72      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   73      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   74      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   75      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   76      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   77      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   78      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   79      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   80      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   81      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   82      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   83      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   84      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   85      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   86      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   87      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   88      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   89      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   90      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   91      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   92      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   93      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   94      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   95      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   96      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   97      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   98      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
   99      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  100      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  101      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  102      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  103      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  104      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
  105      6  0.17666D+07  0.00000D+00         0.5094         0.0000         0.0000
